title,category,originalPrice,discountedPrice,numberOfReviews,starRating,productLink,description,highlights
"Wireless Mouse","Electronics",49.99,29.99,340,4.5,"https://example.com/mouse","Compact wireless mouse with long battery life.","Ergonomic design|Bluetooth 5.0"
"Mechanical Keyboard","Electronics",129.99,99.99,210,4.8,"https://example.com/keyboard","RGB mechanical keyboard with blue switches.","Customizable RGB|Tactile switches"
"Ceramic Coffee Mug","Home & Kitchen",19.99,14.99,850,4.6,"https://example.com/mug","Ceramic coffee mug, 12 oz.","Microwave safe|Dishwasher safe"
"Non-slip Yoga Mat","Sports",39.99,24.99,120,4.5,"https://example.com/mat","Non-slip yoga mat with carrying strap.","Eco-friendly material|Extra thick"
"Running Shoes","Apparel",149.99,119.99,45,4.5,"https://example.com/shoes","Lightweight running shoes for all terrains.","Breathable mesh|Cushioned sole"
"Bluetooth Headphones","Electronics",199.99,149.99,560,4.5,"https://example.com/headphones","Noise-cancelling over-ear headphones.","Active Noise Cancellation|30hr battery"
"LED Desk Lamp","Office",59.99,39.99,89,4.5,"https://example.com/lamp","LED desk lamp with adjustable brightness.","Eye-caring tech|USB charging port"
"Insulated Water Bottle","Sports",24.99,19.99,670,5.0,"https://example.com/bottle","Stainless steel insulated water bottle.","Keeps cold 24hrs|Leak-proof"
"Aviator Sunglasses","Accessories",89.99,69.99,230,4.0,"https://example.com/sunglasses","Polarized aviator sunglasses.","UV400 protection|Scratch resistant"
"Travel Backpack","Travel",79.99,59.99,310,4.5,"https://example.com/backpack","Durable travel backpack with laptop sleeve.","Water resistant|Multiple compartments"
